article_id,text,lang,truth
1,RT @Student51701386: @11Petitioners @sudhirchaudhary @ANI @DrRPNishank @DG_NTA If JEE condition is like this where the exam is conducted pa,en,Fact
2,"RT @md_asim0: SOP in JEE Mains..
#JEEMain
#POSTPONEJEE_NEET https://t.co/XBuu7GjMh4",en,Fake
3,"RT @LicypriyaK: If there is any @Wikipedia contributor, plz create a Wikipedia page for this historic NEET JEE Resistance Movement by the s",en,Fact
4,RT @11Petitioners: Please mention @11Petitioners primarily in @Wikipedia page as we are the initiator of this movement.,en,Fact
5,"RT @ABPNews: Corona Woes: Over 40% Students Skip #JEEMain Entrance Exam On Day 1 In Lucknow, Ludhiana

Details: https://t.co/fh3MMhXzNq htt",en,Fake
6,RT @RockyBh70589887: What have you done!!! Please others don't repeat this...think of others also..everyone will be infected because of you,en,Fake
7,"RT @neetaspirant142: Outside TCS KOLKATA...
After today's last shift.
Please retweet...
#JEE2020 #JEEMain #JEENEET #JEE  #JEEMains2020 
@an",en,Fake
8,"RT @anubha1812: JEE NEET STUDENTS
you all are having confusion if a new Petition can be filed in SC or not after dismissal

Yes it can be a",en,Fake
9,"RT @SinghSanjay26: You stopped Jee students but you can't stop us.
As soon as corona ends we riot. #StopPrivatisation_SaveGovtJob",en,Fake
10,"RT @Deblina93624483: #postponeUGCNET_SEP2020
If it's possible to postpone CSIR UGC NET because of COVID_19,
Then why not NTA UGC NET exam.",en,Fake
11,"See it sir ...
This is how the lives of millions of children are in danger...
#postponeNEETandJEE 
#NEET
#JEE https://t.co/TE2fVuEcbb",en,Fake
12,"RT @neetaspirant142: Outside TCS KOLKATA...
After today's last shift.
Please retweet...
#JEE2020 #JEEMain #JEENEET #JEE  #JEEMains2020 
@an",en,Fake
13,"RT @vsk_mp: The Sangh has not launched an official campaign, its local units have been activated and are keeping an eye on the current situ",en,Fake
14,RT @ArindamRoycho14: Hello @DrRPNishank @narendramodi,en,Fake
15,"Bihar flood, Assam flood, falling Economy, NEETUG, JEE EXAMS, a lot more are ignored. 
The so called no. media chan https://t.co/5vJXq2AItU",en,Fake
16,RT @Neerajkundan: .@nsui activists are continue helping students and parents with providing them masks and sanitizers. You can tweet with #,en,Fact
17,"RT @RahulGandhi: Modi Govt is jeopardising India's future.

Arrogance is making them ignore the genuine concerns of the JEE-NEET aspirants",en,Fake
18,"RT @RajeshK93984705: #JEEMain #JEE @11Petitioners 
I am Rajesh Kumar, a covid positive student with no symptoms. I didn't marked myself as",en,Fact
19,RT @11Petitioners: Please mention @11Petitioners primarily in @Wikipedia page as we are the initiator of this movement.,en,Fact
20,RT @Swamy39: I have phoned the PM residence this morning to try one last time for postponing NEET/JEE exams beyond Deepavali. The office se,en,Fake
21,"RT @Bhavukjain9: @anubha1812 @LicypriyaK Mam, what do you think about Neet?
Only 12% candidates appeared for jee in ludhiana. https://t.co/",en,Fake
22,"RT @RahulGandhi: Modi Govt is jeopardising India's future.

Arrogance is making them ignore the genuine concerns of the JEE-NEET aspirants",en,Fake
23,"RT @neetaspirant142: Outside TCS KOLKATA...
After today's last shift.
Please retweet...
#JEE2020 #JEEMain #JEENEET #JEE  #JEEMains2020 
@an",en,Fake
24,"RT @Alokmittal_: As many as 70% of the students did not turn up on the first day of the #JEEMain in the two centres in Calcutta
@PMOIndia",en,Fake
25,"RT @anubha1812: JEE NEET STUDENTS
you all are having confusion if a new Petition can be filed in SC or not after dismissal

Yes it can be a",en,Fake
26,RT @Neerajkundan: .@nsui activists are continue helping students and parents with providing them masks and sanitizers. You can tweet with #,en,Fact
27,"RT @anubha1812: @PMOIndia @DrRPNishank 

If you all would have taken decision in favour of students they would have not gone to court durin",en,Fact
28,RT @worldofsanjeev: #NEET is absolutely unnecessary for a mature education system in Tamilnadu. This is an example of the Union's whim bein,en,Fact
